atomic_number,country1,country2,country3
1,gbr,,
2,gbr,fra,
3,swe,,
4,fra,,
5,fra,gbr,
6,,,
7,gbr,,
8,gbr,swe,fra
9,fra,,
10,gbr,,
11,gbr,,
12,gbr,,
13,dnk,,
14,swe,,
15,deu,,
16,,,
17,swe,,
18,gbr,,
19,gbr,,
20,gbr,,
21,swe,,
22,gbr,,
23,swe,,
24,fra,,
25,swe,,
26,,,
27,swe,,
28,swe,,
29,,,
30,deu,,
31,fra,,
32,gbr,,
33,,,
34,swe,,
35,fra,,
36,gbr,,
37,deu,,
38,gbr,,
39,fin,,
40,deu,,
41,gbr,,
42,swe,,
43,ita,,
44,rus,,
45,gbr,,
46,gbr,,
47,,,
48,deu,,
49,deu,,
50,,,
51,,,
52,rou,,
53,fra,,
54,gbr,,
55,deu,,
56,gbr,,
57,swe,,
58,swe,deu,
59,aut,,
60,aut,,
61,usa,,
62,fra,,
63,fra,,
64,che,,
65,swe,,
66,fra,,
67,swe,,
68,swe,,
69,swe,,
70,che,,
71,fra,,
72,dnk,,
73,swe,,
74,esp,,
75,deu,,
76,gbr,,
77,gbr,,
78,esp,,
79,,,
80,,,
81,gbr,,
82,,,
83,,,
84,fra,,
85,usa,,
86,deu,,
87,fra,,
88,fra,,
89,fra,,
90,swe,deu,
91,gbr,deu,
92,deu,,
93,usa,,
94,usa,,
95,usa,,
96,usa,,
97,usa,,
98,usa,,
99,usa,,
100,usa,,
101,usa,,
102,rus,,
103,usa,,
104,usa,rus,
105,usa,,
106,usa,rus,
107,deu,,
108,deu,,
109,deu,,
110,deu,,
111,deu,,
112,deu,,
113,,,
114,usa,rus,
115,,,
116,usa,rus,
117,,,
118,,,
